id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0KUPUADGM,上海龙华直升机场,交通设施服务;机场相关;直升机场,150106,龙腾大道2500号,121.464761,31.165925,,[],[],交通设施,上海市,上海市,徐汇区
B00157GH8J,上海瑞金医院高架直升机场,交通设施服务;机场相关;直升机场,150106,瑞金二路197号门诊部24层楼顶,121.466879,31.210259,021-64370045,[],[],交通设施,上海市,上海市,黄浦区
B00157BO6X,华山医院高架直升机场,交通设施服务;机场相关;直升机场,150106,乌鲁木齐中路12号,121.443344,31.216466,,[],[],交通设施,上海市,上海市,静安区
B00155DNI5,上海南站,交通设施服务;火车站;火车站,150200,沪闵路9001号,121.429462,31.153127,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH6SYBW,上海南站(南进站口),交通设施服务;火车站;进站口/检票口,150202,上海南站地铁站2号口步行150米,121.429771,31.152256,,[],[],交通设施,上海市,上海市,徐汇区
B0FFGPMIVL,上海南站(北进站口),交通设施服务;火车站;进站口/检票口,150202,动力北一路(上海南站地铁站4号入口步行60米),121.429054,31.154113,,[],[],交通设施,上海市,上海市,徐汇区
B0FFF0583Y,上海南站(南出站口),交通设施服务;火车站;出站口,150203,上海南站地铁站2号口步行120米,121.430235,31.152291,,[],[],交通设施,上海市,上海市,徐汇区
B0FFHJRKZF,上海火车站南站(验票口),交通设施服务;火车站;进站口/检票口,150202,老沪闵路289号上海火车站南站2F层,121.429060,31.153746,,[],[],交通设施,上海市,上海市,徐汇区
B0KUFS49CP,莘庄站,交通设施服务;火车站;火车站,150200,,121.384608,31.108817,,[],[],交通设施,上海市,上海市,闵行区
B0FFG943O6,上海南站(北出站口),交通设施服务;火车站;出站口,150203,上海南站地铁站4号入口步行310米,121.428853,31.154035,,[],[],交通设施,上海市,上海市,徐汇区
B0KKXA4HHS,上海南站(金山铁路进站口),交通设施服务;火车站;进站口/检票口,150202,上海南站北广场1层西侧(上海南站地铁站2号口步行80米),121.428569,31.153673,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH91841,上海南站(A检票口),交通设施服务;火车站;进站口/检票口,150202,沪闵路9001号上海南站2F层(上海南站地铁站4号入口旁),121.429621,31.153569,,[],[],交通设施,上海市,上海市,徐汇区
B0FFKCJPLN,李家塘站,交通设施服务;火车站;火车站,150200,李家塘,121.360395,31.111429,,[],[],交通设施,上海市,上海市,闵行区
B0FFH9183X,上海南站(B检票口),交通设施服务;火车站;进站口/检票口|生活服务;生活服务场所;生活服务场所,150202|070000,沪闵路9001号上海南站2F层,121.429035,31.153169,,[],[],交通设施,上海市,上海市,徐汇区
B0L6PMB5L4,莘庄站(进站口),交通设施服务;火车站;进站口/检票口,150202,莘庄地铁站北1口旁,121.385437,31.109868,,[],[],交通设施,上海市,上海市,闵行区
B0FFHJRKZ6,上海南站(出口),交通设施服务;火车站;出站口,150203,沪闵路9001号上海南站2F层(上海南站地铁站4号入口旁),121.429245,31.153955,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH9181A,上海南站候车区,交通设施服务;火车站;候车室,150201,沪闵路9001号上海南站B1层,121.429379,31.152694,,[],[],交通设施,上海市,上海市,徐汇区
B0FFGBF0G2,上海南站(B1西南出站口),交通设施服务;火车站;出站口,150203,上海南站地铁站3号口步行130米,121.429821,31.152051,,[],[],交通设施,上海市,上海市,徐汇区
B0KKXA4R6T,上海南站(金山铁路出站口),交通设施服务;火车站;出站口,150203,上海南站北广场西北出口(上海南站地铁站4号入口步行320米),121.428599,31.153398,,[],[],交通设施,上海市,上海市,徐汇区
B0FFG56X7A,上海南站5候车区,交通设施服务;火车站;候车室,150201,沪闵路9001号上海南站2层,121.429661,31.153379,,[],[],交通设施,上海市,上海市,徐汇区
B0L6PMRCGH,莘庄站(出站口),交通设施服务;火车站;出站口,150203,莘庄地铁站北2口旁,121.385246,31.109997,,[],[],交通设施,上海市,上海市,闵行区
B0J0MLTPRC,上海南站(出口),交通设施服务;火车站;出站口,150203,沪闵路9001号上海南站2F层(上海南站地铁站3号入口旁),121.429739,31.152404,,[],[],交通设施,上海市,上海市,徐汇区
B0FFHFJHT9,上海南站(B1东南出站口),交通设施服务;火车站;出站口,150203,石龙路750号(上海南站地铁站1号口步行400米),121.430471,31.153070,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH9183F,上海南站6候车区,交通设施服务;火车站;候车室,150201,沪闵路9001号上海南站2F层,121.429242,31.153094,,[],[],交通设施,上海市,上海市,徐汇区
B0FFGDHBET,上海南站(北1入口),交通设施服务;火车站;进站口/检票口,150202,沪闵路9001号上海南站1F层,121.428600,31.153828,,[],[],交通设施,上海市,上海市,徐汇区
B0FFFXR1EM,售票处1(上海火车站南站),交通设施服务;火车站;售票,150205,老沪闵路289号上海火车站南站F2层,121.429710,31.154228,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH9183C,上海南站4号候车区,交通设施服务;火车站;候车室,150201,沪闵路9001号上海南站2F层,121.429119,31.153226,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH9183D,上海南站3候车区,交通设施服务;火车站;候车室,150201,沪闵路9001号上海南站2F层(上海南站地铁站4号入口旁),121.429538,31.153510,,[],[],交通设施,上海市,上海市,徐汇区
B0FFH91855,上海南站人工售票窗口28-33,交通设施服务;火车站;售票|生活服务;售票处;火车票代售点,150205|070302,沪闵路9001号上海南站2层(上海南站地铁站4号入口旁),121.429578,31.154007,,[],[],交通设施,上海市,上海市,徐汇区
B0FFFSV1WY,上海火车站南站A2候车室,交通设施服务;火车站;候车室,150201,沪闵路9001号上海南站1F层,121.428537,31.153450,,[],[],交通设施,上海市,上海市,徐汇区
