id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0FFIKANHD,Stonesal言盐西餐厅,体育休闲服务;娱乐场所;酒吧|餐饮服务;中餐厅;中餐厅,080304|050100,东湖路9号上海地产大厦裙房1M,121.453492,31.216319,021-54651765,4.6,796.00,社交餐饮|体育休闲,上海市,上海市,徐汇区
B0LUY6V2Y8,半酌烧烤小酒馆(中山公园店),体育休闲服务;运动场馆;运动场所|餐饮服务;中餐厅;中餐厅,080100|050100,宣化路300号ARK新华宁F1层,121.422525,31.217475,18845273555,4.5,88.00,社交餐饮|体育休闲,上海市,上海市,长宁区
B0KRSUB24T,COMMUNE·X幻师(上海利园店),餐饮服务;外国餐厅;西餐厅(综合风味)|体育休闲服务;娱乐场所;娱乐场所,050201|080300,新闸路668号LI-15室,121.461811,31.237547,13301850452,4.6,163.00,社交餐饮|体育休闲,上海市,上海市,静安区
B0FFFWUGFK,SFC上影影城(世博店),体育休闲服务;影剧院;电影院|购物服务;便民商店/便利店;便民商店/便利店,080601|060200,世博大道1200号梅赛德斯奔驰文化中心6层,121.492480,31.188605,021-20251186,4.6,52.00,购物菜场|体育休闲,上海市,上海市,浦东新区
B0KUMZ4BLW,网鱼电竞(闵行爱琴海购物中心店),购物服务;家电电子卖场;手机销售|体育休闲服务;娱乐场所;网吧,060305|080308,爱琴海购物中心虹井路120弄6号楼3层321室,121.372736,31.175393,18200327621,4.5,20.00,购物菜场|体育休闲,上海市,上海市,闵行区
B0FFHH36C9,凯乐石KAILAS(上海新世界店),购物服务;体育用品店;户外用品|购物服务;专卖店;专营店|体育休闲服务;娱乐场所;娱乐场所,060907|061200|080300,南京西路2-68号新世界城6楼25-26(人民广场地铁站19号口步行60米),121.473453,31.235417,15221339320;17305674806,4.3,[],购物菜场|体育休闲,上海市,上海市,黄浦区
B0H35H4JYX,江宁路街道社区综合为老服务中心(昌化大楼店),体育休闲服务;度假疗养场所;疗养院,080402,江宁路街道淮安路771号,121.450353,31.239228,021-62991007,[],[],生活服务|体育休闲,上海市,上海市,静安区
B0FFF90GSL,上海市司法局老干部活动中心,体育休闲服务;休闲场所;休闲场所,080500,中山西路1538号,121.421871,31.187587,,[],[],生活服务|体育休闲,上海市,上海市,徐汇区
B0G3Z7UNU5,永联村褚家塘老人活动站,体育休闲服务;休闲场所;休闲场所,080500,龙联路与银都路466弄交叉口东140米,121.446935,31.108597,,[],[],生活服务|体育休闲,上海市,上海市,闵行区
B00157I1Y7,上海市普陀区老干部活动中心(大渡河路),体育休闲服务;休闲场所;休闲场所,080500,大渡河路525号(长风公园地铁站2号口步行110米),121.396735,31.225718,,[],[],生活服务|体育休闲,上海市,上海市,普陀区
B00153D2D7,东华大学老年活动中心,体育休闲服务;休闲场所;休闲场所,080500,延安西路1882号东华大学(延安路校区),121.412750,31.202795,,[],[],生活服务|体育休闲,上海市,上海市,长宁区
B0LUOHHT8G,雀王棋牌俱乐部(巨鹿路店),体育休闲服务;娱乐场所;棋牌室,080306,瑞金一路8号5c,121.462892,31.223135,13381537591,4.5,65.00,生活服务|体育休闲,上海市,上海市,黄浦区
B0H1ULZR20,雀禧荟,体育休闲服务;娱乐场所;棋牌室,080306,新闸路833号3层(自然博物馆地铁站2号口步行330米),121.459558,31.234594,021-62666966,4.5,59.00,生活服务|体育休闲,上海市,上海市,静安区
B0H6ZUS5YH,天合地合棋牌(打浦桥店),体育休闲服务;娱乐场所;棋牌室,080306,斜徐路595号202(打浦桥地铁站2号口步行370米),121.472518,31.206866,021-53018727,4.5,60.00,生活服务|体育休闲,上海市,上海市,黄浦区
B0LUVCEC9O,上海晶雀棋牌会所,体育休闲服务;娱乐场所;棋牌室|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,080306|061100,是斜土东路198号(陆家浜路地铁站2号口步行470米),121.488051,31.207667,021-60297080;13761673487;18321071188,4.5,74.00,生活服务|体育休闲,上海市,上海市,黄浦区
B0LB4DAQVV,雀禧荟·棋牌(康定路店),体育休闲服务;娱乐场所;棋牌室,080306,康定路1590号3层(武宁路地铁站5A口步行400米),121.429899,31.228995,021-62660878;13764501590,4.6,72.00,生活服务|体育休闲,上海市,上海市,静安区
B0L13P68GT,一线天·派对,体育休闲服务;娱乐场所;KTV,080302,康定路1590号3层,121.431398,31.233100,18502371523,4.5,1404.00,生活服务|体育休闲,上海市,上海市,静安区
B00155F57K,新华社区文化活动中心(海富公寓1号楼东南),体育休闲服务;休闲场所;休闲场所|生活服务;生活服务场所;生活服务场所,080500|070000,法华镇路453号,121.427038,31.204325,021-52802857,[],[],文化地标|体育休闲,上海市,上海市,长宁区
B00155INTZ,咏文上书房(新梅广场店),购物服务;专卖店;书店|体育休闲服务;休闲场所;休闲场所,061205|080500,龙茗路24号(外环路地铁站北口步行400米),121.389570,31.121941,021-54173758,4.2,[],文化地标|体育休闲|独处品质空间,上海市,上海市,闵行区
B0KDSHRJOV,深空未来剧场,体育休闲服务;影剧院;剧场,080603,龙腾大道2600号西海岸美术馆B1,121.463860,31.167701,,4.1,[],文化地标|体育休闲|独处品质空间,上海市,上海市,徐汇区
B00154DQ3U,上海大剧院,体育休闲服务;影剧院;剧场,080603,人民大道300号,121.471825,31.229400,021-63728702;021-63868686;4001068686,4.9,314.00,文化地标|体育休闲,上海市,上海市,黄浦区
B0KAK1PF9S,西岸大剧院(Gate M西岸梦中心),体育休闲服务;影剧院;剧场,080603,龙腾大道2290号,121.465724,31.163375,4001265688,4.9,475.00,文化地标|体育休闲,上海市,上海市,徐汇区
B0FFKOEPBA,前滩31演艺中心,体育休闲服务;影剧院;剧场,080603,高青西路777号,121.484956,31.150756,021-38932988,4.9,309.00,文化地标|体育休闲,上海市,上海市,浦东新区
B00150C921,美琪大戏院,体育休闲服务;影剧院;剧场,080603,奉贤路258号(南京西路地铁站1号口步行350米),121.456669,31.229695,021-62173311,4.8,324.00,文化地标|体育休闲,上海市,上海市,静安区
B0HDVUXPY7,宛平剧院,体育休闲服务;影剧院;剧场,080603,枫林路街道中山南二路857-859号,121.451612,31.185011,021-64392277;021-64691383,4.8,175.00,文化地标|体育休闲,上海市,上海市,徐汇区
B0FFLOXPF9,艺海剧院(FanclArtCenter),体育休闲服务;影剧院;剧场,080603,江宁路466艺海大厦,121.452607,31.234993,021-22009936;021-62568282,4.9,306.00,文化地标|体育休闲,上海市,上海市,静安区
B0G3UU3NX1,上海共舞台,体育休闲服务;影剧院;剧场,080603,延安东路433号(大世界地铁站1号口步行260米),121.479378,31.228867,021-63309781,4.8,165.00,文化地标|体育休闲,上海市,上海市,黄浦区
B001516B0B,兰心大戏院,体育休闲服务;影剧院;剧场,080603,上海市瑞金二路街道茂名南路57号,121.460518,31.221033,021-62178530,4.7,330.00,文化地标|体育休闲,上海市,上海市,黄浦区
B0FFKBUMWT,上音歌剧院管弦乐排练厅,体育休闲服务;影剧院;剧场,080603,汾阳路6号(陕西南路地铁站7号口步行350米),121.455425,31.214725,021-24158000,4.8,570.00,文化地标|体育休闲,上海市,上海市,徐汇区
B00156EX81,荣威·上海儿童艺术剧场,体育休闲服务;影剧院;剧场,080603,苗江路800号,121.494585,31.196360,021-63338993;021-62537171,4.7,129.00,文化地标|体育休闲,上海市,上海市,黄浦区
B00155Q8KQ,上海城市剧院,体育休闲服务;影剧院;剧场,080603,都市路4889号,121.389681,31.105119,021-64135188,4.7,208.00,文化地标|体育休闲,上海市,上海市,闵行区
B00155KLQC,上海商城剧院,体育休闲服务;影剧院;剧场,080603,南京西路1376号上海商城4层,121.451936,31.22676,021-62797132,4.7,141.00,文化地标|体育休闲,上海市,上海市,静安区
B0I2PHI2F8,茉莉花剧场,体育休闲服务;影剧院;剧场,080603,北海路247号(人民广场地铁站1号口步行390米),121.478466,31.230065,021-53098219,4.7,291.00,文化地标|体育休闲,上海市,上海市,黄浦区
B001532792,中国大戏院,体育休闲服务;影剧院;剧场,080603,牛庄路704号,121.476522,31.237706,021-63778820,4.7,112.00,文化地标|体育休闲,上海市,上海市,黄浦区
B00154ZDUN,白玉兰剧场,体育休闲服务;影剧院;剧场,080603,重庆南路308号,121.472101,31.209803,021-64450086,4.6,49.00,文化地标|体育休闲,上海市,上海市,黄浦区
B0FFJIOVZ8,长江剧场(黄河路美食休闲街店),体育休闲服务;影剧院;剧场,080603,黄河路35号(人民广场地铁站9号口步行150米),121.470960,31.233716,021-63290350,4.4,230.00,文化地标|体育休闲,上海市,上海市,黄浦区
B0I2ANIZIZ,上海国际舞蹈中心大剧场,体育休闲服务;影剧院;剧场,080603,虹桥路1650号(上海国际舞蹈中心)2号楼,121.395252,31.199389,021-52990372,4.5,[],文化地标|体育休闲,上海市,上海市,长宁区
B0FFFA2Q5U,上海京剧院,体育休闲服务;影剧院;剧场,080603,天钥桥路1198号,121.447761,31.174394,021-54619880,4.5,178.00,文化地标|体育休闲,上海市,上海市,徐汇区
B0IK05RL4D,笑乐汇相声社(外滩NEO店),体育休闲服务;影剧院;剧场,080603,人民路399号外滩NEO商厦B1层(桔子水晶进入大堂手扶梯至B1层),121.491404,31.229260,13761229373,4.6,[],文化地标|体育休闲,上海市,上海市,黄浦区
B0H23UQKHR,要玩喜剧脱口秀(南京东路店),体育休闲服务;影剧院;剧场,080603,南京东路299号宏伊广场4楼(南京东路地铁站3号口旁),121.484736,31.236943,13120788074,4.6,[],文化地标|体育休闲,上海市,上海市,黄浦区
B00151C5FA,中国福利会儿童艺术剧院,体育休闲服务;影剧院;剧场,080603,华山路643号,121.440539,31.216223,021-62494790;021-62497313,4.4,[],文化地标|体育休闲,上海市,上海市,静安区
B00155LAUZ,上戏实验剧院,体育休闲服务;影剧院;剧场,080603,华山路678号华景大厦F1层,121.439846,31.216601,021-62485600,4.6,[],文化地标|体育休闲,上海市,上海市,静安区
B0IK3DP66N,肆笑喜剧脱口秀(南京东路店),体育休闲服务;影剧院;剧场,080603,南京东路479号U479商场4楼,121.481421,31.235882,17774358542,4.7,[],文化地标|体育休闲,上海市,上海市,黄浦区
B00154DVZY,上海话剧艺术中心-艺术剧院(话剧大厦店),体育休闲服务;影剧院;剧场,080603,安福路288号话剧大厦1层,121.441117,31.213735,021-64730123;021-64748600,4.5,297.00,文化地标|体育休闲,上海市,上海市,徐汇区
B0LAHRJ3FZ,第七感魔术剧场(长风大悦城店),体育休闲服务;影剧院;剧场,080603,长风大悦城室内区域4楼第七感魔术剧场,121.395404,31.222895,19117259612,4.0,152.00,文化地标|体育休闲,上海市,上海市,普陀区
B0J2NY0D4Q,新天安堂剧院,体育休闲服务;影剧院;剧场,080603,南苏州路与圆明园路交叉口东南40米,121.488378,31.243333,13671949927,4.5,306.00,文化地标|体育休闲,上海市,上海市,黄浦区
B0LGR7EHTR,上海大剧院-中剧场,体育休闲服务;影剧院;剧场,080603,人民大道300号上海大剧院,121.471821,31.229339,021-63868686,4.4,297.00,文化地标|体育休闲,上海市,上海市,黄浦区
