id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0LGXZCVCX,黄浦区外滩街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,金陵东路412号,121.481687,31.227766,,[],[],生活服务|医疗保健,上海市,上海市,黄浦区
B00156GDF3,莘庄社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,水清路1099号(近秀文路),121.374360,31.128094,021-64133106;021-64133120,[],[],生活服务|医疗保健,上海市,上海市,闵行区
B001549F73,复旦大学上海医学院古美社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,龙茗路668号,121.388522,31.133719,021-54165659,[],[],生活服务|医疗保健,上海市,上海市,闵行区
B00152F867,闵行区梅陇社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,景彩路100号,121.402454,31.120935,021-54287048,[],[],生活服务|医疗保健,上海市,上海市,闵行区
B00156NU6F,上海市静安区曹家渡街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,万航渡路858弄5号,121.428405,31.227797,021-62268811,[],[],生活服务|医疗保健,上海市,上海市,静安区
B001541D37,南京西路街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,成都北路165号(近威海路),121.466921,31.226552,021-63182117,[],[],生活服务|医疗保健,上海市,上海市,静安区
B0J2RMN5VH,徐家汇街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,广元西路349号,121.431706,31.194506,021-64478614;021-64479206,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155IVHL,上钢社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,昌里路360号(长清路地铁站7号口步行90米),121.489426,31.172745,021-58836584,[],[],生活服务|医疗保健,上海市,上海市,浦东新区
B00155BWFZ,枫林街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,双峰路450号,121.449105,31.180090,021-64399271;021-64399667,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155LDVO,虹桥街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,虹桥路961弄4号,121.418255,31.196890,021-62759200,[],[],生活服务|医疗保健,上海市,上海市,长宁区
B001537115,康健街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,江安路88号,121.414655,31.147993,021-54181166,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155BOF1,仙霞街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,芙蓉江路140号(近茅台路),121.395084,31.208434,021-62743010,[],[],生活服务|医疗保健,上海市,上海市,长宁区
B00156NM0G,龙华街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,龙华西路249-251号,121.447255,31.173277,021-64560088,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155EMFD,上海市黄浦区老西门街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,学前街81号,121.489557,31.216735,021-60554777,[],[],生活服务|医疗保健,上海市,上海市,黄浦区
B0H2HOM557,漕河泾街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,宾阳路38号,121.436520,31.163879,021-54113581,3.9,[],生活服务|医疗保健,上海市,上海市,徐汇区
B001570W5R,静安寺街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,新闸路1729号,121.444809,31.228372,021-62176060,[],[],生活服务|医疗保健,上海市,上海市,静安区
B00155ERTZ,长征社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,千阳路209号(近同普路),121.369472,31.233017,021-52693399;021-52694873,[],[],生活服务|医疗保健,上海市,上海市,普陀区
