id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0FFJA28LX,IM Shanghai长宁国际,商务住宅;楼宇;商住两用楼宇|购物服务;商场;普通商场,120203|060102,凯旋路1398号(虹桥路地铁站1号口步行200米),121.421507,31.199061,15000914929;18221922803,4.7,[],购物菜场|金融住宿政府|商务产业,上海市,上海市,长宁区
B0FFHIIGXG,宝龙城,购物服务;商场;普通商场|购物服务;商场;购物中心|商务住宅;商务住宅相关;商务住宅相关,060102|060101|120000,漕宝路3299弄15号,121.355056,31.158511,021-62207789;021-64302199,4.7,[],购物菜场|金融住宿政府|商务产业,上海市,上海市,闵行区
B00155ITJ1,武康大楼,商务住宅;住宅区;住宅小区,120302,湖南路街道淮海中路1850号,121.438278,31.204430,,4.8,[],文化地标|风景名胜|金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFIQXMC1,中庚漫游城,购物服务;商场;普通商场|商务住宅;楼宇;商务写字楼,060102|120201,闵虹路8号,121.396728,31.131232,021-32550692,4.8,[],金融住宿政府|商务产业,上海市,上海市,闵行区
B00154DK6I,世界贸易大厦,商务住宅;楼宇;商务写字楼,120201,广东路500号,121.481797,31.232550,,[],[],金融住宿政府|商务产业,上海市,上海市,黄浦区
B00157HWWH,久事商务大厦,商务住宅;楼宇;商务写字楼,120201,四川中路213号,121.488125,31.236029,,[],[],金融住宿政府|商务产业,上海市,上海市,黄浦区
B0FFL9ZBOL,国际传媒港,商务住宅;产业园区;产业园区,120100,龙腾大道2171号,121.462269,31.159513,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00156F6E5,光启城,商务住宅;楼宇;商住两用楼宇,120203,宜山路455号,121.428514,31.183919,021-34695522;021-60406666,4.7,[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155A9C2,金玉兰广场,商务住宅;楼宇;商务写字楼,120201,打浦路1号(打浦桥地铁站2号口步行220米),121.470979,31.205018,,4.5,18672.00,金融住宿政府|商务产业,上海市,上海市,黄浦区
B00153831C,安利大楼,商务住宅;楼宇;商务写字楼,120201,四川中路320号(南京东路地铁站7号口步行460米),121.488436,31.237671,,[],[],金融住宿政府|商务产业,上海市,上海市,黄浦区
