id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0L6F1HH9C,栗汀予梦(静安大悦城南座店),购物服务;综合市场;果品市场,060704,西藏北路166号上海静安大悦城南座L5层,121.472302,31.243133,,4.3,[],购物菜场|文化地标|独处品质空间,上海市,上海市,静安区
B00156NXQH,石门二路社区文化活动中心,生活服务;生活服务场所;生活服务场所,070000,康定东路85号,121.456063,31.237330,021-52138886,[],[],生活服务|文化地标,上海市,上海市,静安区
B001544F54,老西门社区文化活动中心,科教文化服务;文化宫;文化宫,140800,中华路990号,121.491143,31.214290,021-63666144,[],[],生活服务|文化地标,上海市,上海市,黄浦区
B00156NVZG,上海自然博物馆,科教文化服务;博物馆;博物馆,140100,北京西路510号,121.462672,31.235021,021-62620116;021-68622000,4.8,[],文化地标|科技体验,上海市,上海市,静安区
B001535BBC,上海博物馆(人民广场馆),科教文化服务;博物馆;博物馆,140100,人民大道201号,121.475497,31.228234,021-63723500,4.7,[],文化地标,上海市,上海市,黄浦区
B00155L9WI,上海美术馆(中华艺术宫),科教文化服务;博物馆;博物馆,140100,上南路205号,121.494740,31.184338,021-20202010;021-20252018;4009219021,4.8,[],文化地标|独处品质空间,上海市,上海市,浦东新区
B001575WDA,上海世博会博物馆,科教文化服务;博物馆;博物馆,140100,蒙自路818号(世博会博物馆地铁站2号口步行210米),121.482161,31.194391,021-23132818,4.8,[],文化地标,上海市,上海市,黄浦区
B00155F9RW,上海邮政博物馆,科教文化服务;博物馆;博物馆,140100,天潼路395号(天潼路地铁站3号口步行290米),121.484749,31.244286,,4.7,[],文化地标|风景名胜,上海市,上海市,虹口区
B0FFI2885X,上海市历史博物馆,科教文化服务;博物馆;博物馆,140100,南京西路325号(人民广场地铁站11号口步行200米),121.470891,31.230594,021-23299999,4.7,[],文化地标,上海市,上海市,黄浦区
B0FFK6SGQJ,闵行博物馆,科教文化服务;博物馆;博物馆,140100,新镇路1538号,121.359371,31.160636,021-64880567,4.7,[],文化地标,上海市,上海市,闵行区
B0JAXS5ONF,上海潜艇展览馆(中国航海博物馆黄浦分馆),科教文化服务;博物馆;博物馆,140100,龙华东路50弄1号,121.488654,31.194212,021-63338575,4.7,[],文化地标,上海市,上海市,黄浦区
B001575OGK,上海电影博物馆,科教文化服务;博物馆;博物馆,140100,漕溪北路595号A座(上海体育馆地铁站1号口步行450米),121.438473,31.186294,021-64268666,4.7,[],文化地标,上海市,上海市,徐汇区
B00154502C,上海儿童博物馆,科教文化服务;博物馆;博物馆,140100,宋园路61号,121.412937,31.193773,021-62783130,4.6,[],文化地标,上海市,上海市,长宁区
B0FFK2KA0K,中国证券博物馆,科教文化服务;博物馆;博物馆,140100,黄浦路15号,121.490941,31.244246,021-63246332,4.7,[],文化地标|风景名胜,上海市,上海市,虹口区
B00154DR4O,上海航宇科普中心,科教文化服务;博物馆;博物馆,140100,沪闵路7900号,121.406043,31.136452,021-64806759;021-54809490,4.7,[],文化地标|科技体验,上海市,上海市,闵行区
B0FFIW090Q,国际乒联博物馆,科教文化服务;博物馆;博物馆,140100,局门路796号,121.481237,31.193284,021-65506650,4.7,[],文化地标,上海市,上海市,黄浦区
B00156EGYU,钱学森图书馆,科教文化服务;博物馆;博物馆,140100,华山路1800号,121.435504,31.201055,021-62932068,4.6,[],文化地标|风景名胜|科技体验,上海市,上海市,徐汇区
B0I1VSUTMI,苏州河工业文明展示馆,科教文化服务;博物馆;博物馆,140100,光复西路2690号,121.379427,31.220673,021-52675556,4.5,[],文化地标,上海市,上海市,普陀区
B00156EJCZ,上海消防博物馆,科教文化服务;博物馆;博物馆,140100,中山西路229号,121.411362,31.218170,021-28955295;021-28955751,4.5,[],文化地标,上海市,上海市,长宁区
B00156F5K7,上海艺术品博物馆,科教文化服务;博物馆;博物馆,140100,延安西路1731号(延安西路地铁站1号口步行360米),121.41459,31.210917,021-52067259,4.1,[],文化地标,上海市,上海市,长宁区
B00155HO84,中国科学院上海昆虫博物馆,科教文化服务;博物馆;博物馆,140100,枫林路300号,121.455224,31.193578,021-54924201;021-54924191,4.4,[],文化地标,上海市,上海市,徐汇区
B00155LL5X,上海工艺美术博物馆,科教文化服务;博物馆;博物馆,140100,汾阳路79号,121.454495,31.210087,021-64314074;021-64372509,4.4,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0I6DAMLLO,巧克力博物馆,科教文化服务;博物馆;博物馆,140100,豫园旧校场路69号YB1-102,121.490857,31.226746,18989483533;4007161577,4.5,[],文化地标,上海市,上海市,黄浦区
B0I0NM6P0T,上海气象博物馆,科教文化服务;博物馆;博物馆,140100,蒲西路166号(徐家汇地铁站出入口步行150米),121.436219,31.190156,021-64389338,4.3,[],文化地标,上海市,上海市,徐汇区
B00155QL13,上海琉璃艺术博物馆,科教文化服务;博物馆;博物馆,140100,泰康路25号,121.470292,31.207795,021-64672268,4.3,[],文化地标,上海市,上海市,黄浦区
B0KRXMYJCQ,中国音数协游戏博物馆,科教文化服务;博物馆;博物馆,140100,桂箐路65号新研大厦B座3层,121.404865,31.172699,021-60197682;18621269625,4.6,[],文化地标,上海市,上海市,徐汇区
B0HRMZI3IU,上海体育博物馆,科教文化服务;博物馆;博物馆,140100,南京西路150号(人民广场地铁站10号口步行170米),121.471965,31.233853,021-63275330,4.3,[],文化地标,上海市,上海市,黄浦区
B00155QHTA,上海土山湾博物馆,科教文化服务;博物馆;博物馆,140100,蒲汇塘路55号,121.435149,31.186616,021-54249688;021-54249968,4.2,[],文化地标,上海市,上海市,徐汇区
B00155LW7J,张乐平故居,科教文化服务;博物馆;博物馆,140100,五原路288弄3号,121.443329,31.212563,021-64183811,4.2,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0FFGLW6WA,上海市银行博物馆,科教文化服务;博物馆;博物馆,140100,复兴中路301号(一大会址·新天地地铁站2号口步行90米),121.476332,31.216427,,4.2,[],文化地标,上海市,上海市,黄浦区
