id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B001550YMG,得和茶馆(建国西路店),餐饮服务;茶艺馆;茶艺馆|餐饮服务;中餐厅;中餐厅,050600|050100,建国西路135号卢湾区体育中心综合楼2层,121.463841,31.207042,021-54681117,4.4,151.00,社交餐饮|独处品质空间,上海市,上海市,黄浦区
B0LDODWLE9,裕莲茶楼(上海中环广场店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,淮海中路381号中环广场二层L2-3&5室(星巴克旁边),121.472925,31.222263,13761382015,4.5,36.00,社交餐饮|独处品质空间,上海市,上海市,黄浦区
B0LDH7H9CN,裕莲茶楼(上海徐家汇中心店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,虹桥路183号上海徐家汇中心商场四层406室,121.434935,31.193578,18021043974,4.3,27.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0LBRD59JI,礼厚茶肆(前滩太古里店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,东育路500弄1-9号b1层S-B1-33a号,121.482702,31.152242,15021611867,4.4,22.00,社交餐饮|独处品质空间,上海市,上海市,浦东新区
B0L6NHPK2F,裕莲茶楼(世博天地店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,上钢新村街道世博大道1467号世博天地L128,121.488247,31.185089,17701637606,4.5,25.00,社交餐饮|独处品质空间,上海市,上海市,浦东新区
B0FFJ8Z091,luckin coffee 瑞幸咖啡(长江新能源店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,九江路675-685号长江新能源大厦1层,121.477585,31.234182,4000100100,4.6,17.00,社交餐饮|独处品质空间,上海市,上海市,黄浦区
B0LRDD765A,裕莲茶楼(上海One ITC店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,徐家汇街道One ITCLG1层,121.437902,31.197203,18019387972,4.3,29.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0KRTSS941,裕莲茶楼(上海博荟店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,中山南一路788号博荟广场购物中心L1层L1-21-A+B单元,121.480098,31.197050,13127760227,4.3,28.00,社交餐饮|独处品质空间,上海市,上海市,黄浦区
B0JKAMKUF1,瑞幸咖啡(绿地海外滩店),餐饮服务;咖啡厅;咖啡厅,050500,龙华东路810号黄浦绿地缤纷城一层2-106号,121.473543,31.193627,4000100100,4.1,19.00,社交餐饮|独处品质空间,上海市,上海市,黄浦区
B00155LQS8,三月咖啡馆,餐饮服务;咖啡厅;咖啡厅,050500,万航渡路1384弄12号湖丝栈创意园区1号楼2层(近华阳路),121.421882,31.225508,021-60900331,4.5,68.00,社交餐饮|独处品质空间,上海市,上海市,长宁区
