id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0FFLCV8CP,华为授权服务中心(徐汇漕溪北路),购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,漕溪北路575号(徐汇区区政府右侧斜对面),121.437232,31.188195,021-34771126,4.8,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0FFKKA1KQ,华为授权服务中心(普陀金沙江路),购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,宁夏路679号(欧爱喜中心1楼全家超市隔壁),121.413519,31.230975,021-62180758,4.7,[],购物菜场|生活服务,上海市,上海市,普陀区
B0FFKQNZ3N,Apple授权专营店(港汇恒隆广场店),购物服务;家电电子卖场;手机销售|购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060305|060306|071200,虹桥路1号6楼608A(徐家汇地铁站出口步行80米),121.437189,31.194592,021-54561271,4.4,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0IGAHNR37,荣耀官方授权服务中心(闵行莲花国际店),购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,梅陇镇沪闵路7866号莲花国际广场1楼F119,121.402690,31.134086,021-34126261;021-60381566,4.7,[],购物菜场|生活服务,上海市,上海市,闵行区
B0FFFA0IY7,联想客户服务中心(百应漕溪路店),购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060306|071200,轨道交通3号线漕溪路站漕溪路CX139-1号,121.438198,31.174363,021-54257481;021-54257482,4.4,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0FFGAS3P2,联想客户服务中心(百应碧秀路店),购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060306|071200,碧秀路106号(沿街商铺),121.384573,31.113257,13816268363,4.2,[],购物菜场|生活服务,上海市,上海市,闵行区
B0FFJDWCZA,华硕电脑智汇家(上海静安大悦城店),购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060306|071200,西藏北路166号大悦城北楼2层,121.472043,31.244077,13391313723,4.4,[],购物菜场|生活服务,上海市,上海市,静安区
B0H0D4B04B,格力电器(虹艺吴中路店),购物服务;家电电子卖场;家电电子卖场|生活服务;维修站点;维修站点,060300|071200,吴中路1268号,121.378189,31.175868,17681398110,4.3,[],购物菜场|生活服务,上海市,上海市,闵行区
B0015355F2,上海市经济信息中心,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|生活服务;信息咨询中心;信息咨询中心,130102|070200,华山路1076号,121.435897,31.211534,021-62589090,[],[],生活服务|金融住宿政府,上海市,上海市,长宁区
B0LRXUZJS5,上海温室花园-游客中心,生活服务;信息咨询中心;服务中心,070201,中国国家地理文创驿站东南侧,121.473712,31.177787,,[],[],生活服务,上海市,上海市,浦东新区
B0HRPC3EZ1,上海博物馆游客服务中心,生活服务;信息咨询中心;服务中心,070201,人民大道201号上海博物馆1楼,121.475619,31.228272,,[],[],生活服务,上海市,上海市,黄浦区
B0HRGS7EYL,上海市历史博物馆游客中心,生活服务;信息咨询中心;服务中心,070201,南京西路325号上海市历史博物馆,121.470867,31.231123,,[],[],生活服务,上海市,上海市,黄浦区
B0FFFS33SX,上海动物园游客服务中心,生活服务;信息咨询中心;服务中心,070201,虹桥路2381号上海动物园(上海动物园地铁站1号口旁),121.368477,31.190566,,[],[],生活服务,上海市,上海市,长宁区
B0FFLA8MMM,徐家汇源游客中心,生活服务;信息咨询中心;服务中心,070201,漕溪北路451号(徐家汇地铁站2号口旁),121.437759,31.189232,021-54259260,[],[],生活服务,上海市,上海市,徐汇区
B0HRPC4VQV,上海世博会博物馆游客中心,生活服务;信息咨询中心;服务中心,070201,蒙自路818号上海世博会博物馆,121.482330,31.194277,,[],[],生活服务,上海市,上海市,黄浦区
B0FFFGYVFL,上海长风海洋世界游客中心,生活服务;信息咨询中心;服务中心,070201,大渡河路451号(长风公园地铁站2号口步行80米),121.396602,31.224328,021-60721488,[],[],生活服务,上海市,上海市,普陀区
B0H2A569FM,上海宋庆龄故居游客中心,生活服务;信息咨询中心;服务中心,070201,淮海中路1843号上海宋庆龄故居纪念馆(西北角),121.438866,31.204320,021-64747183,[],[],生活服务,上海市,上海市,徐汇区
B0FFGZX11V,整复外科咨询服务台(第九人民医院新门诊楼),生活服务;信息咨询中心;服务中心,070201,瞿溪路500号第九人民医院新门诊楼F9层,121.487270,31.201525,,[],[],生活服务,上海市,上海市,黄浦区
B0GK47QTYT,闵行文化公园游客中心,生活服务;信息咨询中心;服务中心,070201,吴中路2019号闵行文化公园(西北角),121.358854,31.167109,021-64787780,[],[],生活服务,上海市,上海市,闵行区
B0KUSR38UD,龙华烈士陵园接待服务中心,生活服务;信息咨询中心;服务中心,070201,龙华西路180号上海市龙华烈士陵园(东南角),121.450757,31.173570,,3.7,[],生活服务,上海市,上海市,徐汇区
B0FFH91882,心尚服务工作室(上海南站),生活服务;信息咨询中心;信息咨询中心,070200,沪闵路9001号上海南站2F层(上海南站地铁站3号口旁),121.429476,31.153153,021-51245040,3.6,[],生活服务,上海市,上海市,徐汇区
B0GKU7KE2P,老外街101游客中心,生活服务;信息咨询中心;服务中心,070201,虹许路797号,121.389507,31.191635,021-33581999,[],[],生活服务,上海市,上海市,闵行区
B0FFH4LMG2,日月光中心服务台,生活服务;信息咨询中心;信息咨询中心,070200,徐家汇路618号日月光中心徐家汇区1F层,121.468186,31.205900,,[],[],生活服务,上海市,上海市,黄浦区
B0FFFDKMR8,锦江乐园游客中心,生活服务;信息咨询中心;服务中心,070201,虹梅路201号锦江乐园,121.410742,31.140467,021-54204956;021-54216858,[],[],生活服务,上海市,上海市,闵行区
B0I6BCXGCQ,上海宋庆龄陵园游客中心,生活服务;信息咨询中心;服务中心,070201,宋园路21号中华人民共和国名誉主席宋庆龄陵园,121.413425,31.194891,,[],[],生活服务,上海市,上海市,长宁区
B0FFH1SN6M,便民服务中心(上海长征医院门诊楼),生活服务;信息咨询中心;服务中心,070201,成都北路480号上海长征医院门诊部F1层,121.467409,31.231909,,4.1,[],生活服务,上海市,上海市,黄浦区
B0G2K1X2W2,综合服务中心(上海南站),生活服务;信息咨询中心;服务中心,070201,沪闵路9001号上海南站2F层,121.429411,31.152361,,3.7,[],生活服务,上海市,上海市,徐汇区
B0FFH02QPM,便民服务中心(上海市第六人民医院门诊楼),生活服务;信息咨询中心;服务中心,070201,宜山路600号上海市第六人民医院门诊楼F1层,121.423999,31.178934,,3.8,[],生活服务,上海市,上海市,徐汇区
