id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00155867M,宴宾阁大酒店,餐饮服务;中餐厅;综合酒楼,050101,虹梅南路1661号,121.427003,31.115526,021-64778666;021-64778777,4.5,108.00,社交餐饮,上海市,上海市,闵行区
B00150ED40,两扇门(红春一公寓店),餐饮服务;中餐厅;西北菜,050115,虹梅路3338弄11号,121.386507,31.191211,13636581181,4.2,132.00,社交餐饮,上海市,上海市,闵行区
B0FFIE4T5P,苗岭人家(天目中路店),餐饮服务;中餐厅;中餐厅,050100,天目中路383号海文大楼F1层,121.467142,31.244737,15618903013;18356525065,4.7,90.00,社交餐饮,上海市,上海市,静安区
B0FFF9KICG,山川爱烤鳗鱼(金虹桥·井亭苑店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,虹莘路3811号2层,121.372265,31.167881,021-54573750,4.4,190.00,社交餐饮,上海市,上海市,闵行区
B00156RW80,黎安会所,餐饮服务;中餐厅;中餐厅|体育休闲服务;娱乐场所;娱乐场所,050100|080300,惠水路与秀文路交叉口东180米,121.372683,31.125843,021-64924480,4.4,142.00,社交餐饮,上海市,上海市,闵行区
B001509A6E,上海龙柏饭店,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;中餐厅;中餐厅,100103|050100,虹桥路2419号,121.360340,31.188681,021-32029888;021-62688868;13818199722,4.5,[],社交餐饮,上海市,上海市,长宁区
B00155ITTE,新加坡泰园村酒楼(新华店),餐饮服务;中餐厅;海鲜酒楼,050119,新华路660号万宝大酒店2层,121.421125,31.205075,021-62801000;021-62828028,4.4,676.00,社交餐饮,上海市,上海市,长宁区
B00153F93D,毛豆阿姨酒家,餐饮服务;中餐厅;综合酒楼,050101,常熟路115弄(近长乐路),121.448192,31.216508,021-54030429;021-54036233;18016417110,4.7,275.00,社交餐饮,上海市,上海市,静安区
B00156EOXX,海澜湾渔港(森宏购物广场店),餐饮服务;中餐厅;海鲜酒楼,050119,三林镇长清路1200弄之16-19号,121.490704,31.149100,021-20287779;021-20289777,4.7,279.00,社交餐饮,上海市,上海市,浦东新区
B00153722D,南风烤鸭店(龙恒路),餐饮服务;中餐厅;中餐厅,050100,龙华西路31弄1-51号俞一小区,121.452912,31.169706,13701724628,4.5,45.00,社交餐饮,上海市,上海市,徐汇区
