id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0FFK78AI5,三菱电机智能制造科创中心,公司企业;公司;机械电子|购物服务;家电电子卖场;家电电子卖场,170204|060300,伊犁南路566号(伊犁路地铁站1号口步行320米),121.406053,31.197198,021-23223030,4.5,[],购物菜场|科技体验,上海市,上海市,长宁区
B0FFJ2TZVA,荣耀授权专卖店(黄浦区浙江中路店),购物服务;家电电子卖场;手机销售,060305,浙江中路156号(福州路罗森店旁边),121.479577,31.233050,021-63353312;15921598088,4.6,[],购物菜场|科技体验,上海市,上海市,黄浦区
B00156NVZG,上海自然博物馆,科教文化服务;博物馆;博物馆,140100,北京西路510号,121.462672,31.235021,021-62620116;021-68622000,4.8,[],文化地标|科技体验,上海市,上海市,静安区
B00154DR4O,上海航宇科普中心,科教文化服务;博物馆;博物馆,140100,沪闵路7900号,121.406043,31.136452,021-64806759;021-54809490,4.7,[],文化地标|科技体验,上海市,上海市,闵行区
B00156EGYU,钱学森图书馆,科教文化服务;博物馆;博物馆,140100,华山路1800号,121.435504,31.201055,021-62932068,4.6,[],文化地标|风景名胜|科技体验,上海市,上海市,徐汇区
B0015211AD,中国蓝印花布馆,科教文化服务;展览馆;展览馆|科教文化服务;博物馆;博物馆,140200|140100,长乐路637弄1-24号(近华亭路),121.450339,31.216682,021-54037947,4.3,[],文化地标|科技体验,上海市,上海市,徐汇区
B0G2AODU45,URBANCROSS Gallery城市交集,科教文化服务;展览馆;展览馆|科教文化服务;博物馆;博物馆,140200|140100,淮海中路1846号(交通大学地铁站7号口步行420米),121.438336,31.204323,,4.2,[],文化地标|科技体验,上海市,上海市,徐汇区
B001542F38,上海展览中心,科教文化服务;展览馆;展览馆,140200,延安中路1000号(静安寺地铁站8号口步行340米),121.452760,31.224701,021-22162216,4.9,[],文化地标|科技体验,上海市,上海市,静安区
B0K1LLB089,GM巨人展,科教文化服务;展览馆;展览馆,140200,淮海中路HAUS NOWHERE门店2层,121.462771,31.218518,,4.9,[],文化地标|科技体验,上海市,上海市,黄浦区
B00156E4HB,东浩兰生上海世博展览馆,科教文化服务;展览馆;展览馆,140200,上海市上钢新村街道国展路1099号上海世博展览馆内,121.489956,31.182650,021-20225188;021-20893555;021-20893600,4.8,[],文化地标|科技体验,上海市,上海市,浦东新区
B0LUZ7YXUM,LV路易威登非凡之旅,科教文化服务;展览馆;展览馆,140200,南京西路789号兴业太古汇N129(南京西路地铁站5号口旁),121.462262,31.229963,4006588555,4.8,[],文化地标|科技体验,上海市,上海市,静安区
B001546728,上海城市规划展示馆,科教文化服务;展览馆;展览馆,140200,人民大道100号,121.475551,31.231444,021-63184477,4.8,[],文化地标|科技体验,上海市,上海市,黄浦区
