id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0J19L582P,上海哈尔滨食品厂(汇金百货店),购物服务;专卖店;专营店|餐饮服务;糕饼店;糕饼店|购物服务;超级市场;超市|公司企业;公司;公司,061200|050800|060400|170200,天钥桥路40-90号汇联商厦,121.440042,31.195493,15800583674,4.2,[],社交餐饮|购物菜场,上海市,上海市,徐汇区
B0FFIED63E,淮海南丰荟,购物服务;商场;购物中心,060101,淮海中路188号(大世界地铁站3号口步行380米),121.476830,31.224628,,4.4,[],购物菜场,上海市,上海市,黄浦区
B0FFGM2TAK,豫园百货天裕楼,购物服务;商场;购物中心|风景名胜;风景名胜;风景名胜,060101|110200,方浜中路249号,121.491268,31.225715,,4.3,[],购物菜场|风景名胜,上海市,上海市,黄浦区
B0FFF4ACHZ,88铜仁路(上海X88店),购物服务;商场;购物中心,060101,铜仁路88号(静安寺地铁站8号口步行300米),121.451367,31.223377,,4.4,[],购物菜场,上海市,上海市,静安区
B00156LVIV,汇京国际广场,购物服务;商场;普通商场,060102,虹桥路777号(虹桥路地铁站4号口步行190米),121.423612,31.195962,021-52801880;021-64878601;13482824576,4.6,[],购物菜场,上海市,上海市,徐汇区
B00156O89O,福缘湾·九华商业广场,购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102,淞虹路938号福缘湾,121.364957,31.204095,021-52178800,4.4,[],购物菜场,上海市,上海市,长宁区
B0FFF661BT,风度国际生活广场,购物服务;商场;普通商场,060102,虹桥镇虹泉路1101弄3号,121.373088,31.169045,,4.3,[],购物菜场,上海市,上海市,闵行区
B00155KVYR,118广场(金沙江路店),购物服务;商场;普通商场,060102,金沙江路1685号,121.377695,31.231457,021-52985508,4.6,[],购物菜场,上海市,上海市,普陀区
B00156R5U6,衡辰商业广场,购物服务;商场;普通商场,060102,天山路346号(威宁路地铁站出入口旁),121.387263,31.215200,021-52665752,4.2,[],购物菜场,上海市,上海市,长宁区
B0LRA71BI0,上海龙华会C1,购物服务;商场;购物中心,060101,龙华路2778号(龙华地铁站出入口旁),121.452611,31.172442,,4.1,[],购物菜场,上海市,上海市,徐汇区
B0LRA714L6,上海龙华会T1,购物服务;商场;购物中心,060101,龙华路2778号(龙华地铁站出入口旁),121.453267,31.174889,,4.2,[],购物菜场,上海市,上海市,徐汇区
B0LRA70YD7,上海龙华会C3,购物服务;商场;购物中心,060101,龙华路2778号(龙华地铁站5号口旁),121.453696,31.173103,,4.1,[],购物菜场,上海市,上海市,徐汇区
B0LRA714L7,上海龙华会C2,购物服务;商场;购物中心,060101,龙华路2778号(龙华地铁站出入口旁),121.453115,31.173142,,3.9,[],购物菜场,上海市,上海市,徐汇区
B0LRA70YD5,上海龙华会T3,购物服务;商场;购物中心,060101,龙华路2778号上海龙华会(龙华地铁站5号口步行80米),121.453991,31.173908,,4.0,[],购物菜场,上海市,上海市,徐汇区
B0LRA70YD4,上海龙华会T2,购物服务;商场;购物中心,060101,龙华路2778号(龙华地铁站5号口步行80米),121.453536,31.174069,,4.2,[],购物菜场,上海市,上海市,徐汇区
B0I155TYLU,IM Shanghai长宁国际T7栋,购物服务;商场;商场,060100,IM Shanghai长宁国际北区,121.422375,31.198675,,4.2,[],购物菜场,上海市,上海市,长宁区
B00156F2ET,鑫茂商厦,购物服务;商场;普通商场,060102,定西路1313号(中山公园地铁站8号口步行260米),121.421852,31.216757,,4.2,[],购物菜场,上海市,上海市,长宁区
B0LRA714L8,上海龙华会C5,购物服务;商场;购物中心,060101,龙华路2778号上海龙华会(龙华地铁站出入口步行160米),121.452999,31.171995,,3.9,[],购物菜场,上海市,上海市,徐汇区
