id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00155IVER,美粤华·精致粤菜,餐饮服务;中餐厅;综合酒楼|住宿服务;宾馆酒店;宾馆酒店,050101|100100,肇嘉浜路238号5楼(陕西南路口),121.461942,31.203457,021-64377979;021-64667777,4.4,308.00,社交餐饮|金融住宿政府,上海市,上海市,徐汇区
B00156D2GA,龙汇酒家(沪闵路店),餐饮服务;中餐厅;综合酒楼|住宿服务;宾馆酒店;宾馆酒店,050101|100100,沪闵路8093号(近大娘水饺肯德基),121.415038,31.143431,021-54010357;021-54011337;13816571561,4.5,78.00,社交餐饮|金融住宿政府,上海市,上海市,徐汇区
B0FFJA28LX,IM Shanghai长宁国际,商务住宅;楼宇;商住两用楼宇|购物服务;商场;普通商场,120203|060102,凯旋路1398号(虹桥路地铁站1号口步行200米),121.421507,31.199061,15000914929;18221922803,4.7,[],购物菜场|金融住宿政府|商务产业,上海市,上海市,长宁区
B0FFHIIGXG,宝龙城,购物服务;商场;普通商场|购物服务;商场;购物中心|商务住宅;商务住宅相关;商务住宅相关,060102|060101|120000,漕宝路3299弄15号,121.355056,31.158511,021-62207789;021-64302199,4.7,[],购物菜场|金融住宿政府|商务产业,上海市,上海市,闵行区
B0015355F2,上海市经济信息中心,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|生活服务;信息咨询中心;信息咨询中心,130102|070200,华山路1076号,121.435897,31.211534,021-62589090,[],[],生活服务|金融住宿政府,上海市,上海市,长宁区
B001518D84,龙华街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,天钥桥南路399号,121.450853,31.168701,021-54121054;021-54121059,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0015483C0,长寿路街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,胶州路1095号(长寿路地铁站1号口步行380米),121.434323,31.239434,,[],[],生活服务|金融住宿政府,上海市,上海市,普陀区
B00155MQPG,长桥街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,罗秀路616号(罗秀路地铁站1号口步行60米),121.436892,31.132121,021-64100554,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00155IUWS,古美路街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,平南路890号,121.387253,31.150349,021-34227900,[],[],生活服务|金融住宿政府,上海市,上海市,闵行区
B00154C59B,上海市徐汇区人民政府漕河泾街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,康健路65号,121.429677,31.165850,021-64366118,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
