id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0FFGM2TAK,豫园百货天裕楼,购物服务;商场;购物中心|风景名胜;风景名胜;风景名胜,060101|110200,方浜中路249号,121.491268,31.225715,,4.3,[],购物菜场|风景名胜,上海市,上海市,黄浦区
B00155F9RW,上海邮政博物馆,科教文化服务;博物馆;博物馆,140100,天潼路395号(天潼路地铁站3号口步行290米),121.484749,31.244286,,4.7,[],文化地标|风景名胜,上海市,上海市,虹口区
B0FFK2KA0K,中国证券博物馆,科教文化服务;博物馆;博物馆,140100,黄浦路15号,121.490941,31.244246,021-63246332,4.7,[],文化地标|风景名胜,上海市,上海市,虹口区
B00156EGYU,钱学森图书馆,科教文化服务;博物馆;博物馆,140100,华山路1800号,121.435504,31.201055,021-62932068,4.6,[],文化地标|风景名胜|科技体验,上海市,上海市,徐汇区
B00155LL5X,上海工艺美术博物馆,科教文化服务;博物馆;博物馆,140100,汾阳路79号,121.454495,31.210087,021-64314074;021-64372509,4.4,[],文化地标|风景名胜,上海市,上海市,徐汇区
B00155LW7J,张乐平故居,科教文化服务;博物馆;博物馆,140100,五原路288弄3号,121.443329,31.212563,021-64183811,4.2,[],文化地标|风景名胜,上海市,上海市,徐汇区
B00156YO69,上海博物馆文物保护科技中心,科教文化服务;博物馆;博物馆,140100,龙吴路1114-1118号,121.451251,31.144859,,4.2,[],文化地标|风景名胜,上海市,上海市,徐汇区
B00155E2PL,上海蔡元培故居陈列馆,科教文化服务;博物馆;博物馆,140100,华山路303弄16号(静安寺地铁站12号口步行310米),121.447808,31.218916,021-62484996,4.0,[],文化地标|风景名胜,上海市,上海市,静安区
B00156NV3G,中共淞浦特委机关旧址陈列馆,科教文化服务;博物馆;博物馆|风景名胜;风景名胜;风景名胜,140100|110200,山海关路339号(自然博物馆地铁站1号口步行230米),121.463593,31.235919,021-62094660,4.2,[],文化地标|风景名胜,上海市,上海市,静安区
B0FFIBLIHR,西王花园弄堂博物馆,科教文化服务;博物馆;博物馆,140100,石门二路街道石门二路街道石门二路街道石门二路街道奉贤路68弄西王小区,121.461396,31.231857,,3.9,[],文化地标|风景名胜,上海市,上海市,静安区
B00155KRWM,沪西革命史陈列馆,风景名胜;风景名胜;红色景区|科教文化服务;展览馆;展览馆,110210|140200,曹杨路520号(沪西工人文化宫内),121.420322,31.238477,021-62442218;021-62449799,4.2,[],文化地标|风景名胜|科技体验,上海市,上海市,普陀区
B00155L9RG,上海工人第三次武装起义发布命令地点,风景名胜;风景名胜;风景名胜|科教文化服务;展览馆;展览馆,110200|140200,自忠路361号(一大会址·新天地地铁站6号口步行290米),121.473885,31.218108,,3.8,[],文化地标|风景名胜|科技体验,上海市,上海市,黄浦区
B0FFHLMGDW,军史陈列馆,风景名胜;风景名胜;纪念馆|科教文化服务;展览馆;展览馆,110204|140200,常德路与新闸路交叉口南100米,121.446240,31.228563,,4.1,[],文化地标|风景名胜|科技体验,上海市,上海市,静安区
B00155FHOA,上海城隍庙,风景名胜;风景名胜;寺庙道观,110205,方浜中路249号,121.492466,31.225879,021-63284494,4.8,[],文化地标|风景名胜,上海市,上海市,黄浦区
B0GKOS77AU,上海四行仓库抗战纪念馆,风景名胜;风景名胜;纪念馆,110204,光复路21号(曲阜路地铁站2号口步行300米),121.471104,31.240340,021-63800180;021-63808222,4.8,[],文化地标|风景名胜,上海市,上海市,静安区
B00154QFBG,中国共产党第一次全国代表大会会址纪念馆,风景名胜;风景名胜;纪念馆,110204,黄陂南路374号,121.475251,31.220139,021-53832171,4.8,[],文化地标|风景名胜,上海市,上海市,黄浦区
B00151EA79,上海宋庆龄故居纪念馆,风景名胜;风景名胜;红色景区,110210,淮海中路1843号,121.439062,31.204017,021-64747183,4.5,[],文化地标|风景名胜,上海市,上海市,徐汇区
