ID,WGS_X,WGS_Y,Error
26,121.43558139,31.1995995075,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
38,121.435458345,31.1997830167,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
41,121.435095755,31.1998343122,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
56,121.435640792,31.1999587296,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
60,121.434955101,31.2000187048,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
61,121.434955101,31.2000187048,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
63,121.434955101,31.2000187048,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
62,121.434955101,31.2000187048,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
69,121.435449592,31.2000928988,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
70,121.435449592,31.2000928988,"未找到对应的SVID/PID (Traceback (most recent call last):
  File ""/media/qiu/Date/baidu/baiduStreetViewSpider2.py"", line 467, in process_item
    raise Exception(""未找到对应的SVID/PID"")
Exception: 未找到对应的SVID/PID
)"
