PointID,WGS_X,WGS_Y,FileName,Admission,Date,DeviceHeight,FileTag,HasDepth,HasTopo,Heading,ID,ImgLayer[0].BlockX,ImgLayer[0].BlockY,ImgLayer[0].ImgFormat,ImgLayer[0].ImgLevel,ImgLayer[1].BlockX,ImgLayer[1].BlockY,ImgLayer[1].ImgFormat,ImgLayer[1].ImgLevel,ImgLayer[2].BlockX,ImgLayer[2].BlockY,ImgLayer[2].ImgFormat,ImgLayer[2].ImgLevel,ImgLayer[3].BlockX,ImgLayer[3].BlockY,ImgLayer[3].ImgFormat,ImgLayer[3].ImgLevel,LayerCount,Links,Links.__len__,Links[0].CPointX,Links[0].CPointY,Links[0].DIR,Links[0].PID,Links[0].RID,Links[0].Type,Links[0].X,Links[0].Y,Links[1].CPointX,Links[1].CPointY,Links[1].DIR,Links[1].PID,Links[1].RID,Links[1].Type,Links[1].X,Links[1].Y,Links[2].CPointX,Links[2].CPointY,Links[2].DIR,Links[2].PID,Links[2].RID,Links[2].Type,Links[2].X,Links[2].Y,Links[3].CPointX,Links[3].CPointY,Links[3].DIR,Links[3].PID,Links[3].RID,Links[3].Type,Links[3].X,Links[3].Y,Links[4].CPointX,Links[4].CPointY,Links[4].DIR,Links[4].PID,Links[4].RID,Links[4].Type,Links[4].X,Links[4].Y,Mode,MoveDir,NorthDir,Obsolete,Pitch,Provider,RX,RY,Rname,Roads.__len__,Roads[0].ID,Roads[0].IsCurrent,Roads[0].Name,Roads[0].Panos.__len__,Roads[0].Panos[0].DIR,Roads[0].Panos[0].Order,Roads[0].Panos[0].PID,Roads[0].Panos[0].Type,Roads[0].Panos[0].X,Roads[0].Panos[0].Y,Roads[0].Panos[1].DIR,Roads[0].Panos[1].Order,Roads[0].Panos[1].PID,Roads[0].Panos[1].Type,Roads[0].Panos[1].X,Roads[0].Panos[1].Y,Roads[0].Panos[2].DIR,Roads[0].Panos[2].Order,Roads[0].Panos[2].PID,Roads[0].Panos[2].Type,Roads[0].Panos[2].X,Roads[0].Panos[2].Y,Roads[0].Panos[3].DIR,Roads[0].Panos[3].Order,Roads[0].Panos[3].PID,Roads[0].Panos[3].Type,Roads[0].Panos[3].X,Roads[0].Panos[3].Y,Roads[0].Panos[4].DIR,Roads[0].Panos[4].Order,Roads[0].Panos[4].PID,Roads[0].Panos[4].Type,Roads[0].Panos[4].X,Roads[0].Panos[4].Y,Roads[0].Width,Roads[1].ID,Roads[1].IsCurrent,Roads[1].Name,Roads[1].Panos,Roads[1].Width,Roads[2].ID,Roads[2].IsCurrent,Roads[2].Name,Roads[2].Panos,Roads[2].Width,Roads[3].ID,Roads[3].IsCurrent,Roads[3].Name,Roads[3].Panos,Roads[3].Width,Roads[4].ID,Roads[4].IsCurrent,Roads[4].Name,Roads[4].Panos,Roads[4].Width,Roll,SwitchID,Time,TimeLine.__len__,TimeLine[0].ID,TimeLine[0].IsCurrent,TimeLine[0].Time,TimeLine[0].TimeDir,TimeLine[0].TimeLine,TimeLine[0].Year,TimeLine[1].ID,TimeLine[1].IsCurrent,TimeLine[1].Time,TimeLine[1].TimeDir,TimeLine[1].TimeLine,TimeLine[1].Year,TimeLine[2].ID,TimeLine[2].IsCurrent,TimeLine[2].Time,TimeLine[2].TimeDir,TimeLine[2].TimeLine,TimeLine[2].Year,TimeLine[3].ID,TimeLine[3].IsCurrent,TimeLine[3].Time,TimeLine[3].TimeDir,TimeLine[3].TimeLine,TimeLine[3].Year,TimeLine[4].ID,TimeLine[4].IsCurrent,TimeLine[4].Time,TimeLine[4].TimeDir,TimeLine[4].TimeLine,TimeLine[4].Year,Type,UserID,Version,X,Y,Z,format_v,id,optver,pid,plane,procdate
0,121.435572806,31.1981859573,0_121.435573_31.198186_ID-09000300122211041401328505O_Date-20221104_Time-202211_FH-d52afc93.jpg,GS京(2023)1378,20221104,2.32,pano_cfg,0,1,307.99,09000300122211041401328505O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1351952585,363676434,103,09000300122211041401253185O,eac662-056a-82e3-5a96-03197f,street,1351952879,363676362,1351952557,363675313,218,09000300122211071213165925O,b8d703-97a3-5f3b-a55c-0d027b,street,1351952557,363675313,1351952522,363675431,159,09000300122211060936059165O,104cd3-b613-cc58-556d-47605a,street,1351952907,363674391,1351952523,363675233,32,09000300122211071213149205O,998db7-0eff-003c-cb5d-17c3e0,street,1351953178,363676260,NA,NA,NA,NA,NA,NA,NA,NA,day,307.99,322.01,0,2.89,9,1351951614,363676275,天平路,NA,799caa-1c2e-2bce-8cab-059dc8,1,天平路,NA,322,0,09000300122211041401328505O,street,1351951662,363676312,0,1,09000300122211041401357255O,street,1351950594,363677210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,eac662-056a-82e3-5a96-03197f,0,天平路,NA,300,b8d703-97a3-5f3b-a55c-0d027b,0,衡山路,NA,550,104cd3-b613-cc58-556d-47605a,0,,NA,300,998db7-0eff-003c-cb5d-17c3e0,0,衡山路,NA,550,-0.26,,202211,6,09000300122211041401328505O,1,day,,202211,2022,09000300122002211457019715O,0,day,obsolete,202002,2020,09000300121709041344388531Y,0,day,obsolete,201709,2017,09000300011512071120362495Z,0,day,obsolete,201512,2015,09000300001504120401518161A,0,day,obsolete,201504,2015,street,,0,1351951662,363676312,15.96,0,09000300122211041401328505O,NA,09000300122211041401328505O,,20240903
1,121.435515203,31.1982465935,1_121.435515_31.198247_ID-09000300122211041401328505O_Date-20221104_Time-202211_FH-d52afc93.jpg,GS京(2023)1378,20221104,2.32,pano_cfg,0,1,307.99,09000300122211041401328505O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1351952585,363676434,103,09000300122211041401253185O,eac662-056a-82e3-5a96-03197f,street,1351952879,363676362,1351952557,363675313,218,09000300122211071213165925O,b8d703-97a3-5f3b-a55c-0d027b,street,1351952557,363675313,1351952522,363675431,159,09000300122211060936059165O,104cd3-b613-cc58-556d-47605a,street,1351952907,363674391,1351952523,363675233,32,09000300122211071213149205O,998db7-0eff-003c-cb5d-17c3e0,street,1351953178,363676260,NA,NA,NA,NA,NA,NA,NA,NA,day,307.99,322.01,0,2.89,9,1351951614,363676275,天平路,NA,799caa-1c2e-2bce-8cab-059dc8,1,天平路,NA,322,0,09000300122211041401328505O,street,1351951662,363676312,0,1,09000300122211041401357255O,street,1351950594,363677210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,eac662-056a-82e3-5a96-03197f,0,天平路,NA,300,b8d703-97a3-5f3b-a55c-0d027b,0,衡山路,NA,550,104cd3-b613-cc58-556d-47605a,0,,NA,300,998db7-0eff-003c-cb5d-17c3e0,0,衡山路,NA,550,-0.26,,202211,6,09000300122211041401328505O,1,day,,202211,2022,09000300122002211457019715O,0,day,obsolete,202002,2020,09000300121709041344388531Y,0,day,obsolete,201709,2017,09000300011512071120362495Z,0,day,obsolete,201512,2015,09000300001504120401518161A,0,day,obsolete,201504,2015,street,,0,1351951662,363676312,15.96,0,09000300122211041401328505O,NA,09000300122211041401328505O,,20240903
4,121.435286193,31.1984809071,4_121.435286_31.198481_ID-09000300122211041401394295O_Date-20221104_Time-202211_FH-5887267f.jpg,GS京(2023)1378,20221104,2.32,pano_cfg,0,1,318.79,09000300122211041401394295O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1351948481,363679521,319,09000300122002211457070345O,12a9ba-4cfe-531d-4228-11d1c8,street,1351947798,363680308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,318.79,311.21,0,3.16,9,1351948857,363679438,天平路,NA,35af63-ad20-9276-66a8-0dd8c8,1,天平路,NA,318,0,09000300122211041401376325O,street,1351949691,363678212,0,1,09000300122211041401394295O,street,1351948727,363679325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,12a9ba-4cfe-531d-4228-11d1c8,0,天平路,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.52,,202211,NA,09000300122211041401394295O,1,day,,202211,2022,09000300122002211457054725O,0,day,obsolete,202002,2020,09000300011512071120425125Z,0,day,obsolete,201512,2015,01000300001310041332390065P,0,day,obsolete,201310,2013,NA,NA,NA,NA,NA,NA,street,,0,1351948727,363679325,15.6,0,09000300122211041401394295O,NA,09000300122211041401394295O,,20240903
3,121.435395392,31.1983710281,3_121.435395_31.198371_ID-09000300122211041401376325O_Date-20221104_Time-202211_FH-4204cc07.jpg,GS京(2023)1378,20221104,2.32,pano_cfg,0,1,318.2,09000300122211041401376325O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1351949840,363677997,136,09000300122211041401357255O,799caa-1c2e-2bce-8cab-059dc8,street,1351950594,363677210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,318.2,311.8,0,3.23,9,1351949835,363678341,天平路,NA,35af63-ad20-9276-66a8-0dd8c8,1,天平路,NA,318,0,09000300122211041401376325O,street,1351949691,363678212,0,1,09000300122211041401394295O,street,1351948727,363679325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,799caa-1c2e-2bce-8cab-059dc8,0,天平路,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.55,,202211,6,09000300122211041401376325O,1,day,,202211,2022,09000300122002211457045975O,0,day,obsolete,202002,2020,09000300121709041344434751Y,0,day,obsolete,201709,2017,09000300011512071120410465Z,0,day,obsolete,201512,2015,09000300001504120401582751A,0,day,obsolete,201504,2015,street,,0,1351949691,363678212,15.69,0,09000300122211041401376325O,NA,09000300122211041401376325O,,20240903
2,121.43569782,31.198338225,2_121.435698_31.198338_ID-09000300122211071213040445O_Date-20221107_Time-202211_FH-2eab599b.jpg,GS(2020)1596,20221107,2.32,pano_cfg,0,1,211.65,09000300122211071213040445O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,211.65,58.35,0,4.33,9,1351953596,363677352,衡山路,NA,998db7-0eff-003c-cb5d-17c3e0,1,衡山路,10,213,0,09000300122211071212521955O,street,1351959724,363686362,213,1,09000300122211071212536015O,street,1351958856,363685013,212,2,09000300122211071212546485O,street,1351958204,363684008,212,3,09000300122211071212562745O,street,1351957194,363682457,212,4,09000300122211071212576995O,street,1351956350,363681135,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,,202211,6,09000300122211071213040445O,1,day,,202211,2022,09000300122002210946051995O,0,day,obsolete,202002,2020,09000300121905191354319269Y,0,day,obsolete,201905,2019,09000300121709041241112131Y,0,day,obsolete,201709,2017,09000300011512071128579745Z,0,day,obsolete,201512,2015,street,,0,1351953823,363677208,15.84,0,09000300122211071213040445O,NA,09000300122211071213040445O,,20240903
5,121.435171189,31.1986712792,5_121.435171_31.198671_ID-09000300122211041401424835O_Date-20221104_Time-202211_FH-8ef10be4.jpg,GS京(2023)1378,20221104,2.32,pano_cfg,0,1,319.01,09000300122211041401424835O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1351946610,363681819,320,09000300122211041401438585O,93f2a7-7440-a0a7-bead-ee7a56,street,1351946346,363682133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,319.01,310.99,0,3.1,9,1351947167,363681383,天平路,NA,d2845d-76b6-cba6-dc4e-2fdfc8,1,天平路,NA,319,0,2300030012221104181007709OI,street,1351947620,363680857,0,1,09000300122211041401424835O,street,1351947062,363681292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,93f2a7-7440-a0a7-bead-ee7a56,0,天平路,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09,,202211,6,09000300122211041401424835O,1,day,,202211,2022,09000300122002211457079095O,0,day,obsolete,202002,2020,09000300121709041344486601Y,0,day,obsolete,201709,2017,09000300011512071120518665Z,0,day,obsolete,201512,2015,09000300001504120402040161A,0,day,obsolete,201504,2015,street,,0,1351947062,363681292,15.48,0,09000300122211041401424835O,NA,09000300122211041401424835O,,20240903
7,121.43622372,31.1988466892,7_121.436224_31.198847_ID-09000300122211070953423835O_Date-20221107_Time-202211_FH-5180ae97.jpg,GS(2020)1596,20221107,2.32,pano_cfg,0,1,31.84,09000300122211070953423835O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1351959017,363684561,212,09000300122211070953405865O,789d56-0cff-003c-cb5d-17c38d,street,1351958048,363683034,1351960605,363687023,34,09000300122211070953438675O,afb563-08b3-3af1-8a09-a8d4c8,street,1351960821,363687342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,31.84,238.16,0,4.4,9,1351959729,363685255,衡山路,NA,0a74f5-f4f0-2890-4408-69d9c8,1,衡山路,NA,0,0,09000300122211070953423835O,street,1351959549,363685377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,789d56-0cff-003c-cb5d-17c38d,0,衡山路,NA,550,afb563-08b3-3af1-8a09-a8d4c8,0,衡山路,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,,202211,NA,09000300122211070953423835O,1,day,,202211,2022,09000300122002210857310085O,0,day,obsolete,202002,2020,09000300121905191410120719Y,0,day,obsolete,201905,2019,09000300121709041248087931Y,0,day,obsolete,201709,2017,NA,NA,NA,NA,NA,NA,street,,0,1351959549,363685377,15.71,0,09000300122211070953423835O,NA,09000300122211070953423835O,,20240903
6,121.435986731,31.198714707,6_121.435987_31.198715_ID-09000300122211071212562745O_Date-20221107_Time-202211_FH-90cbd69b.jpg,GS(2020)1596,20221107,2.32,pano_cfg,0,1,211.77,09000300122211071212562745O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,211.77,58.23,0,4.07,9,1351956950,363682612,衡山路,NA,998db7-0eff-003c-cb5d-17c3e0,1,衡山路,10,213,0,09000300122211071212521955O,street,1351959724,363686362,213,1,09000300122211071212536015O,street,1351958856,363685013,212,2,09000300122211071212546485O,street,1351958204,363684008,212,3,09000300122211071212562745O,street,1351957194,363682457,212,4,09000300122211071212576995O,street,1351956350,363681135,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,,202211,6,09000300122211071212562745O,1,day,,202211,2022,09000300122002210945594485O,0,day,obsolete,202002,2020,09000300121905191354253959Y,0,day,obsolete,201905,2019,09000300121709041240064181Y,0,day,obsolete,201709,2017,09000300011512071128478115Z,0,day,obsolete,201512,2015,street,,0,1351957194,363682457,15.78,0,09000300122211071212562745O,NA,09000300122211071212562745O,,20240903
8,121.436211732,31.1989893544,8_121.436212_31.198989_ID-09000300122211071212521955O_Date-20221107_Time-202211_FH-87bab837.jpg,GS(2020)1596,20221107,2.32,pano_cfg,0,1,211.49,09000300122211071212521955O,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1351959944,363687025,32,09000300122002210945545575O,e67128-34b3-3af1-8a09-a8d488,street,1351959976,363687076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,211.49,58.51,0,4.27,9,1351959478,363686523,衡山路,NA,998db7-0eff-003c-cb5d-17c3e0,1,衡山路,10,213,0,09000300122211071212521955O,street,1351959724,363686362,213,1,09000300122211071212536015O,street,1351958856,363685013,212,2,09000300122211071212546485O,street,1351958204,363684008,212,3,09000300122211071212562745O,street,1351957194,363682457,212,4,09000300122211071212576995O,street,1351956350,363681135,550,e67128-34b3-3af1-8a09-a8d488,0,衡山路,NA,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,,202211,NA,09000300122211071212521955O,1,day,,202211,2022,09000300121709041239531681Y,0,day,obsolete,201709,2017,09000300011512071128400275Z,0,day,obsolete,201512,2015,01000300001310131612266055P,0,day,obsolete,201310,2013,NA,NA,NA,NA,NA,NA,street,,0,1351959724,363686362,15.78,0,09000300122211071212521955O,NA,09000300122211071212521955O,,20240903
9,121.440217933,31.1990312572,9_121.440218_31.199031_ID-0900030012221031113116561GC_Date-20221031_Time-202210_FH-378f793c.jpg,GS京(2023)1378,20221031,2.32,pano_cfg,0,1,335.67,0900030012221031113116561GC,2,1,jpg,1,4,2,jpg,2,8,4,jpg,3,16,8,jpg,4,4,NA,NA,1352002736,363688288,241,09000300122211041037383575O,bef3b5-46d2-40c0-6420-026241,street,1352002265,363688028,1352001925,363688270,334,09000300122211051143470945O,322023-e2ce-4c49-17b1-3c8108,street,1352001041,363690098,1352002437,363688847,62,09000300122101071050574267I,d89691-4250-d8c0-b9a0-acc4f8,street,1352003271,363689280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,335.67,294.33,0,6.41,9,1352003373,363685910,,NA,4439fa-e3de-1f0a-ce70-210b7f,1,,NA,343,0,0900030012221031113115092GC,street,1352003245,363685057,0,1,0900030012221031113116561GC,street,1352002947,363685783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,bef3b5-46d2-40c0-6420-026241,0,肇嘉浜路,NA,1300,322023-e2ce-4c49-17b1-3c8108,0,宛平路,NA,550,d89691-4250-d8c0-b9a0-acc4f8,0,肇嘉浜路,NA,1300,NA,NA,NA,NA,NA,-0.21,,202210,7,0900030012221031113116561GC,1,day,,202210,2022,09000300122101061238304267I,0,day,obsolete,202101,2021,09000300122002211441356185O,0,day,obsolete,202002,2020,09000300121905170840328699Y,0,day,obsolete,201905,2019,09000300121709061407069151Y,0,day,obsolete,201709,2017,street,,0,1352002947,363685783,17.14,0,0900030012221031113116561GC,NA,0900030012221031113116561GC,,20240903
